City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Victoria,HK,77.25,light rain,22.2855,114.1577,Mini Hotel Central
10,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
11,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
20,Road Town,VG,83.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
21,Paragominas,BR,81.3,scattered clouds,-2.9667,-47.4833,INOVA
25,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
31,George Town,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
33,Buala,SB,85.96,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
36,Butaritari,KI,81.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Sao Filipe,CV,79.48,clear sky,14.8961,-24.4956,Hotel Xaguate
46,Carutapera,BR,79.7,scattered clouds,-1.195,-46.02,Lidera
51,Tabou,CI,77.16,light rain,4.423,-7.3528,hotêl doufoulougou
53,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
58,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
59,Guanica,PR,78.31,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
60,Kushima,JP,76.51,broken clouds,31.4583,131.2333,Hanaoka
63,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
73,Atuona,PF,78.33,few clouds,-9.8,-139.0333,Villa Enata
84,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
85,Mareeba,AU,83.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
86,Meulaboh,ID,76.35,overcast clouds,4.1363,96.1285,Kost Pria
87,Isla Mujeres,MX,80.65,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
88,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
94,Kavieng,PG,84.52,few clouds,-2.5744,150.7967,Nusa Island Retreat
95,Kudahuvadhoo,MV,83.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
97,Katsuura,JP,75.18,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
103,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
104,Humaita,BR,82.24,broken clouds,-7.5061,-63.0208,Corrêa Hotel
105,Gorontalo,ID,84.22,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
108,Anori,BR,83.71,broken clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
113,Acarau,BR,79.21,clear sky,-2.8856,-40.12,castelo pizzaria
114,Auki,SB,86.65,scattered clouds,-8.7676,160.7034,Auki Motel
118,Vinces,EC,80.49,broken clouds,-1.55,-79.7333,El Señor de los Caballos Hotel - Spa
120,Pandan,PH,82.51,overcast clouds,14.0453,124.1694,Bonifacio Lodge
123,Takoradi,GH,77.41,scattered clouds,4.8845,-1.7554,Raybow International Hotel
124,Omboue,GA,77.25,overcast clouds,-1.5746,9.2618,Hotel Olako
125,Gwadar,PK,80.19,clear sky,25.1216,62.3254,Sadaf Resort
126,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
