City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luau,AO,2021-10-11 23:32:37,-10.7073,22.2247,72.03,64,100,0.6,overcast clouds
1,Aklavik,CA,2021-10-11 23:30:36,68.2191,-135.0107,30.92,78,97,10.13,overcast clouds
2,Kapaa,US,2021-10-11 23:27:30,22.0752,-159.319,84.52,66,40,4.0,scattered clouds
3,Oktyabrskoye,RU,2021-10-11 23:32:37,43.0645,44.7417,35.74,100,1,6.71,mist
4,Victoria,HK,2021-10-11 23:30:25,22.2855,114.1577,77.25,74,96,1.99,light rain
5,Darhan,MN,2021-10-11 23:32:38,49.4867,105.9228,39.9,48,77,5.12,broken clouds
6,Provideniya,RU,2021-10-11 23:30:37,64.3833,-173.3,32.11,74,75,4.47,broken clouds
7,Pisco,PE,2021-10-11 23:25:45,-13.7,-76.2167,62.65,82,40,17.27,scattered clouds
8,Moramanga,MG,2021-10-11 23:32:38,-18.9333,48.2,55.94,99,68,2.8,broken clouds
9,Cherskiy,RU,2021-10-11 23:30:49,68.75,161.3,7.7,92,35,2.57,scattered clouds
10,Avarua,CK,2021-10-11 23:30:06,-21.2078,-159.775,78.85,78,75,10.36,moderate rain
11,Kavaratti,IN,2021-10-11 23:30:22,10.5669,72.642,81.41,82,100,21.81,overcast clouds
12,Great Yarmouth,GB,2021-10-11 23:32:39,52.6083,1.7305,52.05,85,94,12.06,overcast clouds
13,Ushuaia,AR,2021-10-11 23:26:30,-54.8,-68.3,49.66,50,40,9.22,scattered clouds
14,Betare Oya,CM,2021-10-11 23:32:39,5.6,14.0833,67.06,93,99,3.0,overcast clouds
15,Longyearbyen,SJ,2021-10-11 23:32:39,78.2186,15.6401,28.24,74,20,19.57,few clouds
16,Tamala,RU,2021-10-11 23:32:40,52.541,43.2515,42.94,54,100,6.78,overcast clouds
17,Mataura,NZ,2021-10-11 23:30:08,-46.1927,168.8643,47.91,56,95,10.56,overcast clouds
18,Hobart,AU,2021-10-11 23:26:00,-42.8794,147.3294,56.05,58,40,3.0,scattered clouds
19,Nemuro,JP,2021-10-11 23:32:40,43.3236,145.575,56.61,61,11,8.01,few clouds
20,Road Town,VG,2021-10-11 23:32:40,18.4167,-64.6167,83.19,83,20,10.36,few clouds
21,Paragominas,BR,2021-10-11 23:32:41,-2.9667,-47.4833,81.3,54,44,7.49,scattered clouds
