City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-10-08 03:01:23,41.3712,-73.414,62.65,92,23,0.87
1,Nikolskoye,RU,2021-10-08 03:01:23,59.7035,30.7861,50.88,67,100,6.42
2,Taltal,CL,2021-10-08 03:01:23,-25.4,-70.4833,57.18,82,100,4.29
3,Guerrero,MX,2021-10-08 03:01:24,17.6667,-100.0,67.03,92,85,2.71
4,Georgetown,MY,2021-10-08 03:01:24,5.4112,100.3354,84.13,84,20,1.01
5,Worland,US,2021-10-08 03:01:25,44.0169,-107.9554,63.88,45,90,3.0
6,Rafsanjan,IR,2021-10-08 03:01:25,30.4067,55.9939,69.15,22,0,6.31
7,Albany,US,2021-10-08 03:00:29,42.6001,-73.9662,59.54,93,34,1.41
8,Pauini,BR,2021-10-08 03:01:26,-7.7136,-66.9764,79.61,71,85,1.54
9,Ushuaia,AR,2021-10-08 02:57:57,-54.8,-68.3,46.06,46,75,17.27
10,Hermanus,ZA,2021-10-08 03:01:26,-34.4187,19.2345,55.9,76,0,8.1
11,Cape Town,ZA,2021-10-08 02:58:59,-33.9258,18.4232,59.09,62,75,16.11
12,Mandurah,AU,2021-10-08 03:01:27,-32.55,115.7,67.12,65,100,10.56
13,Faanui,PF,2021-10-08 03:01:27,-16.4833,-151.75,79.03,71,9,6.53
14,Saint George,US,2021-10-08 03:01:28,37.1041,-113.5841,73.94,44,1,5.01
15,Constitucion,CL,2021-10-08 03:01:28,-35.3333,-72.4167,49.05,91,0,8.63
16,Luwuk,ID,2021-10-08 03:01:28,-0.9516,122.7875,87.49,62,31,5.91
17,Matara,LK,2021-10-08 03:01:29,5.9485,80.5353,81.82,80,100,9.42
18,Shyroke,UA,2021-10-08 03:01:29,47.6917,33.2571,38.44,45,7,11.68
19,Arraial Do Cabo,BR,2021-10-08 03:01:29,-22.9661,-42.0278,69.04,74,100,17.65
20,Prado,BR,2021-10-08 03:01:29,-17.3411,-39.2208,73.36,90,93,6.33
21,Dikson,RU,2021-10-08 03:01:30,73.5069,80.5464,30.72,87,100,13.13
22,Vaini,TO,2021-10-08 03:01:30,-21.2,-175.2,75.9,82,6,8.21
23,Yellowknife,CA,2021-10-08 03:01:08,62.456,-114.3525,36.41,99,100,4.0
24,Cabo San Lucas,MX,2021-10-08 03:01:31,22.8909,-109.9124,85.6,71,0,5.41
25,Jamestown,US,2021-10-08 02:59:52,42.097,-79.2353,66.85,92,99,3.0
26,Puerto Ayora,EC,2021-10-08 03:01:32,-0.7393,-90.3518,68.56,96,95,4.0
27,Rio Grande,BR,2021-10-08 03:01:32,-32.035,-52.0986,55.11,70,57,6.44
28,Belaya Gora,RU,2021-10-08 03:01:33,68.5333,146.4167,27.39,54,39,8.41
29,Los Llanos De Aridane,ES,2021-10-08 03:01:33,28.6585,-17.9182,69.55,74,75,10.36
30,Saskylakh,RU,2021-10-08 03:01:34,71.9167,114.0833,6.87,92,86,6.04
31,Punta Arenas,CL,2021-10-08 03:01:34,-53.15,-70.9167,44.11,65,99,16.49
32,Ilulissat,GL,2021-10-08 03:01:35,69.2167,-51.1,24.82,50,6,2.3
33,Torbay,CA,2021-10-08 03:01:35,47.6666,-52.7314,50.88,83,100,1.01
34,Atuona,PF,2021-10-08 03:01:36,-9.8,-139.0333,77.83,78,24,15.93
35,Saint-Philippe,RE,2021-10-08 03:01:37,-21.3585,55.7679,67.59,79,23,9.37
36,Katherine,AU,2021-10-08 03:01:37,-14.4667,132.2667,95.32,36,40,10.36
37,Tuktoyaktuk,CA,2021-10-08 03:01:37,69.4541,-133.0374,30.58,74,18,4.76
38,Airai,TL,2021-10-08 03:01:38,-8.9266,125.4092,83.07,26,44,5.91
39,Mecca,SA,2021-10-08 03:01:27,21.4267,39.8261,83.52,36,2,2.71
40,Victoria,HK,2021-10-08 02:57:35,22.2855,114.1577,78.33,95,100,1.01
41,Winnemucca,US,2021-10-08 03:01:39,40.973,-117.7357,53.11,82,75,5.75
42,Khatanga,RU,2021-10-08 03:01:40,71.9667,102.5,21.11,95,100,6.04
43,Yulara,AU,2021-10-08 03:01:40,-25.2406,130.9889,89.55,18,0,8.61
44,Hithadhoo,MV,2021-10-08 03:01:41,-0.6,73.0833,83.17,66,95,9.08
45,Carnarvon,AU,2021-10-08 03:01:41,-24.8667,113.6333,70.18,52,0,23.04
46,Busselton,AU,2021-10-08 03:01:42,-33.65,115.3333,62.04,60,100,10.22
47,Dehui,CN,2021-10-08 03:01:43,44.5333,125.7,58.37,45,96,4.5
48,Avarua,CK,2021-10-08 03:01:43,-21.2078,-159.775,77.05,69,20,5.75
49,Vestmannaeyjar,IS,2021-10-08 03:01:44,63.4427,-20.2734,49.28,81,92,30.56
50,Port Alfred,ZA,2021-10-08 03:01:44,-33.5906,26.891,67.89,67,100,10.4
51,Thompson,CA,2021-10-08 03:01:45,55.7435,-97.8558,47.89,64,12,6.82
52,Iskateley,RU,2021-10-08 03:01:45,67.6803,53.1512,46.99,88,100,28.07
53,Te Anau,NZ,2021-10-08 03:01:45,-45.4167,167.7167,49.33,91,100,2.13
54,New Norfolk,AU,2021-10-08 03:01:46,-42.7826,147.0587,67.71,65,93,5.99
55,Coquimbo,CL,2021-10-08 03:00:26,-29.9533,-71.3436,53.98,82,100,7.78
56,Bredasdorp,ZA,2021-10-08 03:01:46,-34.5322,20.0403,53.33,79,0,3.98
57,Kavieng,PG,2021-10-08 03:01:47,-2.5744,150.7967,84.22,68,81,3.13
58,Rikitea,PF,2021-10-08 03:01:47,-23.1203,-134.9692,73.83,74,25,9.75
59,Hualmay,PE,2021-10-08 03:01:47,-11.0964,-77.6139,62.53,90,98,13.09
60,Atar,MR,2021-10-08 03:01:48,20.5169,-13.0499,88.45,10,44,7.45
61,Vao,NC,2021-10-08 03:01:49,-22.6667,167.4833,69.71,64,69,13.85
